;Agrupacion;;;;;;;;;;;;;;
Id Circuito;APTITUD RENOVADORA;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;DIGNIDAD POPULAR;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;RENOVADOR FEDERAL;SOCIALISTA AUTÉNTICO;Total general
1;0,001977848;0,028876582;0,001582278;0,001384494;0,004021624;0,087552743;0,329707278;0,389372363;0,130406118;0,00382384;0,005669831;0,007779536;0,000527426;0,007318038;1
2;0,00192759;0,028159571;0,002430439;0,001257124;0,00527992;0,087663426;0,360626886;0,365571572;0,12236004;0,003855179;0,005447536;0,007542742;0,000838082;0,007039893;1
3;0,000875657;0,006421483;0,000583771;0,000291886;0,00525394;0,019556334;0,105078809;0,658201985;0,198774081;0,001459428;0;0,002335085;0;0,001167542;1
4;0;0,004809344;0;0,000343525;0,003435246;0,013397458;0,094469255;0,722775678;0,154929577;0,001374098;0,000343525;0,001374098;0;0,002748196;1
5;0,00255102;0,010015117;0,001984127;0,00170068;0,002645503;0,080782313;0,479969766;0,252267574;0,126322751;0,003873772;0,014455782;0,009826153;0,001039305;0,012566138;1
6;0,000842543;0,007335085;0,000297368;0,000247807;0,00287456;0,019973237;0,075283739;0,747236953;0,137681519;0,000594737;0,001932894;0,001833771;0,000148684;0,003717104;1
7;0,001051927;0,013005642;0,000860667;0,000478149;0,005164005;0,032705365;0,118867744;0,669503682;0,146887253;0,001721335;0,002295113;0,002008224;9,56297E-05;0,005355264;1
8;0,001322886;0,02014857;0,001424646;0,001017605;0,004579221;0,038668973;0,168515315;0,608222245;0,14287168;0,00223873;0,00213697;0,002645772;0,000407042;0,005800346;1
9;0,001533742;0,018001292;0,002179529;0,000645786;0,008153051;0,043267678;0,186712948;0,553115919;0,171536971;0,002583145;0,004278334;0,002906038;0,00072651;0,004359057;1
10;0,002940559;0,023384443;0,002450466;0,000980186;0,00658125;0,052720017;0,211510187;0,538962403;0,142617097;0,003080585;0,003290625;0,003850732;0,000560106;0,007071344;1
11;0,002321165;0,025603151;0,003024548;0,001406767;0,005556728;0,060209608;0,280931279;0,44531195;0,155940072;0,003587255;0,004149961;0,006119434;0,00042203;0,005416051;1
12;0,00259086;0,021806405;0,002518892;0,001223462;0,005325657;0,069881252;0,274991004;0,457574667;0,141849586;0,002734797;0,004893847;0,005973372;0,000791652;0,007844548;1
13;0,004058654;0,026512176;0,002291176;0,001309243;0,005826132;0,068473422;0,280636292;0,449921445;0,137797853;0,004451427;0,004516889;0,007004451;0,000589159;0,006611678;1
14;0,002879539;0,027515598;0,002239642;0,000959846;0,007838746;0,046712526;0,26587746;0,461846105;0,165733483;0,001119821;0,00399936;0,005279155;0,000479923;0,007518797;1
15;0,001949861;0,032869081;0,001299907;0,001207057;0,004642526;0,075951718;0,320705664;0,401949861;0,134447539;0,004828227;0,00733519;0,004363974;0,001114206;0,00733519;1
16;0,001986097;0,028256748;0,001986097;0,001173603;0,005506906;0,072582829;0,313351991;0,418795703;0,128825494;0,003701363;0,005506906;0,008486052;0,000902772;0,008937438;1
17;0,002777778;0,030246914;0,002037037;0,00117284;0,005308642;0,075308642;0,309320988;0,416728395;0,135308642;0,003333333;0,005246914;0,006481481;0,000617284;0,006111111;1
18;0,003890641;0,022502629;0,002313354;0,001997897;0,004100946;0,075394322;0,328811777;0,389274448;0,145215563;0,005047319;0,004521556;0,007465825;0,00126183;0,008201893;1
19;0,00268583;0,023882114;0,00239547;0,00181475;0,004936121;0,075493612;0,352206736;0,363167828;0,143074913;0,003702091;0,004427991;0,007694541;0,00116144;0,013356562;1
20;0,000989315;0,011179264;0,002176494;0,000395726;0,002869015;0,032548476;0,164226355;0,640581717;0,133359715;0,000989315;0,003462604;0,003462604;0,000593589;0,003165809;1
21;0,000887213;0,006321393;0,000831762;0,000166352;0,003049795;0,020849506;0,076133969;0,741654652;0,14151048;0,001164467;0,001885328;0,001608074;0,000277254;0,003659754;1
22;0,001240754;0,019661179;0,001240754;0,000906705;0,004581246;0,046241947;0,144452398;0,643712718;0,125745645;0,001622524;0,003483655;0,00181341;0,000238607;0,005058459;1
23;0,000950787;0,020308816;0,002586141;0,000532441;0,004107401;0,045751883;0,153571157;0,629991633;0,127595649;0,001939606;0,003422834;0,003118582;0,00026622;0,005856849;1
24;0,00093518;0,017067041;0,001285873;0,000233795;0,003916068;0,035478403;0,119293939;0,667660296;0,143316383;0,002279502;0,002454848;0,001636566;0,000584488;0,003857619;1
25;0,000904432;0,011034067;0,000844136;0,00066325;0,002713295;0,030630087;0,100693398;0,707446488;0,137172144;0,000723545;0,001447091;0,001869159;0,000482364;0,003376545;1
26;0,00065089;0,010042308;0,00065089;0,000743875;0,004137803;0,02575666;0,095448417;0,703472965;0,149565298;0,000790367;0,002510577;0,00172021;0,000185969;0,004323771;1
