Id Circuito;APTITUD RENOVADORA;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;DIGNIDAD POPULAR;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;RENOVADOR FEDERAL;SOCIALISTA AUTÉNTICO
1;0.443%;3.117%;0.133%;0.310%;0.458%;8.214%;32.206%;39.577%;13.266%;0.310%;0.488%;0.635%;0.118%;0.724%
2;0.413%;2.836%;0.179%;0.269%;0.503%;8.076%;35.068%;37.545%;12.796%;0.359%;0.431%;0.682%;0.179%;0.664%
3;0.175%;0.698%;0.058%;0.058%;0.524%;1.921%;10.477%;65.600%;20.023%;0.116%;0.000%;0.233%;0.000%;0.116%
4;0.000%;0.494%;0.000%;0.071%;0.353%;1.340%;9.732%;71.509%;16.008%;0.141%;0.000%;0.141%;0.000%;0.212%
5;0.546%;0.950%;0.182%;0.364%;0.303%;7.503%;48.635%;25.076%;12.902%;0.303%;1.416%;0.950%;0.222%;0.647%
6;0.170%;0.731%;0.030%;0.050%;0.281%;1.894%;7.194%;75.023%;13.977%;0.050%;0.150%;0.140%;0.030%;0.281%
7;0.216%;1.297%;0.098%;0.098%;0.511%;3.360%;11.945%;66.464%;14.912%;0.177%;0.216%;0.177%;0.020%;0.511%
8;0.264%;2.007%;0.142%;0.203%;0.446%;3.812%;16.910%;60.543%;14.376%;0.223%;0.203%;0.243%;0.081%;0.547%
9;0.305%;1.783%;0.209%;0.128%;0.819%;4.320%;18.661%;55.035%;17.247%;0.241%;0.401%;0.289%;0.145%;0.418%
10;0.595%;2.368%;0.241%;0.198%;0.695%;5.473%;21.424%;53.070%;14.122%;0.312%;0.312%;0.369%;0.113%;0.709%
11;0.471%;2.628%;0.314%;0.286%;0.571%;5.985%;28.425%;44.065%;15.355%;0.343%;0.414%;0.571%;0.086%;0.486%
12;0.538%;2.242%;0.239%;0.254%;0.538%;6.876%;27.982%;45.202%;13.857%;0.284%;0.478%;0.568%;0.164%;0.777%
13;0.813%;2.662%;0.236%;0.262%;0.590%;6.793%;27.908%;44.695%;13.757%;0.433%;0.433%;0.669%;0.118%;0.630%
14;0.580%;2.805%;0.226%;0.193%;0.774%;4.707%;26.692%;45.745%;16.409%;0.097%;0.419%;0.516%;0.097%;0.741%
15;0.417%;3.452%;0.099%;0.258%;0.456%;7.778%;33.036%;38.710%;13.274%;0.496%;0.675%;0.397%;0.238%;0.714%
16;0.414%;2.880%;0.207%;0.245%;0.546%;7.397%;31.658%;41.126%;12.761%;0.358%;0.527%;0.828%;0.188%;0.866%
17;0.586%;3.152%;0.182%;0.247%;0.508%;7.645%;31.206%;41.196%;13.207%;0.300%;0.469%;0.612%;0.130%;0.560%
18;0.824%;2.295%;0.223%;0.423%;0.446%;8.311%;32.286%;38.057%;14.528%;0.535%;0.401%;0.646%;0.267%;0.758%
19;0.536%;2.432%;0.232%;0.362%;0.536%;7.456%;34.979%;36.021%;14.420%;0.347%;0.420%;0.709%;0.232%;1.318%
20;0.207%;1.115%;0.207%;0.083%;0.310%;3.222%;16.625%;63.527%;13.548%;0.083%;0.310%;0.330%;0.124%;0.310%
21;0.188%;0.647%;0.071%;0.035%;0.282%;1.953%;7.402%;74.500%;14.121%;0.082%;0.177%;0.118%;0.059%;0.365%
22;0.247%;1.967%;0.114%;0.181%;0.447%;4.618%;14.445%;64.193%;12.639%;0.152%;0.304%;0.181%;0.048%;0.466%
23;0.188%;2.017%;0.166%;0.105%;0.399%;4.567%;15.372%;62.874%;12.882%;0.196%;0.339%;0.293%;0.053%;0.549%
24;0.184%;1.713%;0.138%;0.046%;0.402%;3.759%;11.862%;66.563%;14.218%;0.230%;0.218%;0.172%;0.115%;0.379%
25;0.181%;1.110%;0.072%;0.133%;0.265%;3.041%;10.051%;70.560%;13.767%;0.072%;0.133%;0.193%;0.097%;0.326%
26;0.130%;0.995%;0.074%;0.149%;0.409%;2.679%;9.534%;70.189%;14.929%;0.074%;0.214%;0.167%;0.037%;0.419%
27;0.334%;1.672%;0.136%;0.111%;0.396%;4.906%;16.056%;61.348%;13.801%;0.235%;0.297%;0.248%;0.074%;0.384%
28;0.248%;2.120%;0.162%;0.111%;0.427%;5.942%;19.938%;56.395%;13.184%;0.154%;0.453%;0.239%;0.043%;0.581%
29;0.185%;2.203%;0.145%;0.132%;0.382%;5.750%;19.876%;57.241%;12.187%;0.330%;0.422%;0.330%;0.040%;0.778%
30;0.437%;2.685%;0.106%;0.136%;0.377%;6.033%;22.489%;50.407%;15.762%;0.332%;0.256%;0.437%;0.075%;0.468%
31;0.387%;2.281%;0.293%;0.080%;0.560%;5.482%;22.622%;50.340%;16.353%;0.200%;0.173%;0.440%;0.133%;0.654%
32;0.407%;2.588%;0.247%;0.189%;0.436%;7.239%;24.582%;48.888%;13.301%;0.262%;0.422%;0.698%;0.073%;0.669%
33;0.570%;2.411%;0.074%;0.258%;0.515%;7.067%;26.610%;45.859%;14.704%;0.313%;0.350%;0.460%;0.110%;0.699%
34;0.500%;2.684%;0.239%;0.341%;0.409%;6.744%;25.577%;46.639%;14.591%;0.353%;0.353%;0.489%;0.239%;0.842%
35;0.646%;2.561%;0.783%;0.360%;0.584%;7.744%;28.838%;41.392%;14.680%;0.298%;0.447%;0.634%;0.124%;0.907%
36;0.617%;2.576%;0.163%;0.399%;0.834%;8.961%;32.432%;36.659%;14.965%;0.363%;0.345%;0.707%;0.254%;0.726%
37;0.493%;2.437%;0.310%;0.338%;0.592%;7.451%;30.225%;41.394%;14.169%;0.423%;0.479%;0.676%;0.239%;0.775%
38;0.430%;2.666%;0.240%;0.278%;0.455%;7.164%;29.059%;43.298%;14.188%;0.265%;0.531%;0.531%;0.152%;0.745%
39;0.570%;2.775%;0.291%;0.267%;0.521%;7.199%;28.191%;43.401%;14.532%;0.327%;0.448%;0.703%;0.121%;0.654%
40;0.484%;2.403%;0.227%;0.272%;0.589%;7.313%;28.543%;44.031%;14.037%;0.272%;0.514%;0.484%;0.106%;0.725%
41;0.833%;2.896%;0.215%;0.338%;0.479%;7.326%;31.375%;40.516%;13.654%;0.297%;0.380%;0.710%;0.173%;0.809%
42;0.480%;2.922%;0.235%;0.196%;0.657%;6.844%;30.013%;42.112%;14.501%;0.275%;0.461%;0.539%;0.147%;0.618%
43;0.820%;2.807%;0.289%;0.381%;0.612%;7.451%;30.368%;41.077%;14.162%;0.300%;0.381%;0.462%;0.162%;0.728%
44;0.626%;2.428%;0.183%;0.305%;0.641%;8.323%;31.674%;40.745%;12.951%;0.168%;0.382%;0.565%;0.168%;0.840%
45;0.399%;2.226%;0.105%;0.315%;0.630%;6.909%;35.237%;38.744%;12.936%;0.336%;0.609%;0.630%;0.042%;0.882%
46;0.512%;2.372%;0.279%;0.233%;0.651%;7.812%;32.992%;37.433%;15.206%;0.395%;0.419%;0.651%;0.163%;0.884%
47;0.888%;1.466%;0.246%;0.567%;0.621%;6.594%;51.188%;23.025%;11.721%;0.514%;0.696%;1.306%;0.417%;0.749%
48;0.488%;2.203%;0.239%;0.206%;0.684%;6.469%;28.362%;46.304%;13.166%;0.239%;0.336%;0.499%;0.141%;0.662%
49;0.539%;2.681%;0.244%;0.346%;0.500%;6.451%;31.846%;39.028%;15.891%;0.500%;0.462%;0.705%;0.231%;0.577%
50;0.430%;2.365%;0.172%;0.129%;0.419%;5.989%;25.309%;50.199%;13.149%;0.366%;0.333%;0.441%;0.075%;0.624%
51;0.315%;2.772%;0.300%;0.150%;0.405%;5.425%;24.771%;49.633%;14.117%;0.330%;0.450%;0.554%;0.165%;0.614%
52;0.687%;1.743%;0.140%;0.267%;0.802%;6.947%;34.343%;37.104%;15.269%;0.382%;0.636%;0.814%;0.229%;0.636%
