idcircuito;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;SOCIALISTA AUTÉNTICO
1;2.703%;0.179%;0.357%;9.192%;33.587%;38.421%;12.859%;0.441%;0.631%;0.893%;0.738%
2;2.799%;0.299%;0.550%;9.371%;36.934%;35.692%;11.745%;0.409%;0.645%;0.818%;0.739%
3;0.585%;0.059%;0.527%;1.991%;10.539%;66.042%;19.731%;0.176%;0.000%;0.234%;0.117%
4;0.469%;0.000%;0.335%;1.340%;9.176%;73.007%;15.003%;0.134%;0.067%;0.134%;0.335%
5;1.046%;0.213%;0.231%;8.583%;47.437%;25.359%;12.396%;0.461%;1.472%;1.011%;1.791%
6;0.736%;0.029%;0.294%;2.099%;7.856%;74.431%;13.564%;0.069%;0.235%;0.226%;0.461%
7;1.304%;0.075%;0.522%;3.186%;11.832%;67.412%;14.477%;0.168%;0.242%;0.224%;0.559%
8;2.022%;0.143%;0.470%;3.922%;16.793%;61.103%;14.198%;0.225%;0.225%;0.286%;0.613%
9;1.818%;0.227%;0.812%;4.334%;18.682%;55.592%;17.059%;0.276%;0.454%;0.292%;0.454%
10;2.310%;0.249%;0.622%;5.076%;20.885%;54.703%;14.398%;0.304%;0.346%;0.401%;0.705%
11;2.494%;0.291%;0.540%;6.056%;27.772%;44.983%;15.826%;0.374%;0.416%;0.651%;0.596%
12;2.124%;0.264%;0.527%;7.092%;27.051%;46.273%;14.490%;0.264%;0.500%;0.625%;0.791%
13;2.640%;0.222%;0.575%;6.901%;28.219%;45.288%;13.802%;0.457%;0.471%;0.732%;0.693%
14;2.699%;0.222%;0.794%;4.636%;26.485%;46.618%;16.735%;0.127%;0.381%;0.540%;0.762%
15;3.141%;0.157%;0.471%;7.435%;31.222%;41.501%;13.595%;0.471%;0.785%;0.471%;0.750%
16;2.776%;0.191%;0.555%;7.130%;31.037%;42.575%;12.994%;0.382%;0.573%;0.867%;0.920%
17;2.910%;0.223%;0.552%;7.428%;30.685%;42.103%;13.823%;0.364%;0.575%;0.681%;0.657%
18;2.210%;0.239%;0.378%;6.850%;33.413%;39.705%;14.516%;0.478%;0.498%;0.836%;0.876%
19;2.344%;0.247%;0.451%;7.643%;35.464%;36.614%;14.194%;0.393%;0.466%;0.830%;1.354%
20;1.120%;0.228%;0.266%;3.285%;16.236%;64.546%;13.141%;0.114%;0.380%;0.361%;0.323%
21;0.619%;0.094%;0.325%;2.202%;7.802%;73.867%;14.178%;0.147%;0.199%;0.199%;0.367%
22;1.965%;0.134%;0.470%;4.630%;14.446%;64.551%;12.510%;0.173%;0.393%;0.182%;0.546%
23;2.046%;0.354%;0.423%;4.583%;15.341%;63.127%;12.635%;0.192%;0.346%;0.331%;0.623%
24;1.701%;0.119%;0.381%;3.330%;11.999%;66.976%;14.449%;0.226%;0.274%;0.155%;0.392%
25;1.097%;0.096%;0.277%;3.085%;10.088%;70.929%;13.668%;0.072%;0.157%;0.181%;0.350%
26;1.013%;0.056%;0.418%;2.473%;9.556%;70.506%;14.984%;0.084%;0.288%;0.177%;0.446%
27;1.525%;0.141%;0.387%;4.879%;15.785%;62.144%;13.874%;0.246%;0.328%;0.305%;0.387%
28;2.051%;0.169%;0.430%;5.882%;19.932%;56.954%;13.080%;0.177%;0.549%;0.245%;0.532%
29;2.207%;0.162%;0.311%;5.768%;19.686%;58.164%;11.671%;0.366%;0.460%;0.352%;0.853%
30;2.239%;0.112%;0.350%;6.088%;22.631%;51.155%;15.605%;0.364%;0.308%;0.574%;0.574%
31;2.260%;0.274%;0.523%;5.774%;22.848%;50.738%;15.898%;0.235%;0.248%;0.444%;0.758%
32;2.409%;0.260%;0.365%;7.436%;24.014%;49.694%;13.582%;0.313%;0.495%;0.781%;0.651%
33;2.394%;0.110%;0.512%;7.108%;26.695%;46.647%;14.672%;0.292%;0.329%;0.475%;0.767%
34;2.704%;0.250%;0.409%;6.806%;25.838%;47.404%;14.385%;0.375%;0.398%;0.500%;0.932%
35;2.571%;0.302%;0.567%;7.913%;29.297%;42.200%;14.705%;0.328%;0.517%;0.655%;0.945%
36;2.525%;0.324%;0.680%;7.574%;32.562%;38.971%;14.646%;0.469%;0.518%;0.825%;0.906%
37;2.328%;0.319%;0.541%;7.568%;30.492%;42.010%;14.165%;0.457%;0.541%;0.776%;0.804%
38;2.564%;0.223%;0.409%;7.296%;29.134%;43.639%;14.381%;0.384%;0.619%;0.557%;0.793%
39;2.850%;0.298%;0.525%;7.297%;27.817%;44.259%;14.725%;0.322%;0.441%;0.763%;0.703%
40;2.381%;0.314%;0.523%;7.168%;28.398%;45.128%;13.761%;0.314%;0.641%;0.615%;0.759%
41;2.822%;0.239%;0.478%;7.381%;31.444%;41.479%;13.733%;0.343%;0.486%;0.757%;0.837%
42;2.885%;0.236%;0.660%;6.976%;30.081%;42.732%;14.329%;0.321%;0.509%;0.641%;0.632%
43;2.833%;0.295%;0.602%;7.589%;30.603%;41.992%;14.068%;0.330%;0.413%;0.507%;0.767%
44;2.262%;0.206%;0.617%;8.651%;31.834%;41.294%;12.983%;0.192%;0.425%;0.685%;0.850%
45;2.106%;0.160%;0.602%;7.341%;36.803%;37.565%;12.615%;0.441%;0.682%;0.722%;0.963%
46;2.251%;0.276%;0.658%;8.217%;35.817%;35.945%;14.119%;0.446%;0.510%;0.955%;0.807%
47;1.548%;0.242%;0.626%;6.599%;52.278%;23.586%;11.738%;0.538%;0.736%;1.340%;0.769%
48;2.157%;0.256%;0.552%;6.788%;31.159%;44.572%;12.237%;0.307%;0.542%;0.746%;0.685%
49;2.667%;0.248%;0.510%;6.575%;32.235%;39.529%;15.856%;0.523%;0.497%;0.732%;0.627%
50;2.377%;0.191%;0.403%;6.261%;25.618%;50.398%;12.852%;0.382%;0.393%;0.478%;0.647%
51;2.871%;0.319%;0.406%;5.597%;25.678%;49.152%;13.818%;0.333%;0.493%;0.667%;0.667%
52;1.791%;0.172%;0.810%;7.190%;34.896%;37.656%;14.920%;0.368%;0.687%;0.847%;0.663%
53;2.002%;0.206%;0.503%;7.162%;35.973%;37.471%;13.764%;0.606%;0.606%;0.961%;0.744%
54;2.292%;0.207%;1.174%;8.370%;31.282%;41.616%;12.475%;0.395%;0.582%;0.808%;0.798%
55;2.502%;0.219%;0.512%;7.097%;37.109%;36.699%;13.374%;0.498%;0.527%;0.717%;0.746%
56;2.323%;0.382%;0.595%;7.861%;37.238%;35.977%;12.776%;0.368%;0.850%;1.062%;0.567%
57;2.431%;0.238%;0.548%;7.110%;31.768%;40.380%;15.404%;0.334%;0.405%;0.580%;0.802%
58;3.011%;0.229%;0.438%;7.317%;31.946%;40.349%;14.186%;0.419%;0.619%;0.610%;0.877%
59;2.727%;0.192%;0.597%;7.755%;31.895%;41.685%;12.933%;0.245%;0.522%;0.639%;0.810%
60;3.218%;0.257%;0.434%;8.093%;30.183%;44.225%;11.214%;0.372%;0.390%;0.621%;0.993%
61;2.803%;0.366%;0.516%;7.208%;25.785%;48.608%;12.822%;0.244%;0.590%;0.431%;0.628%
62;3.347%;0.287%;0.503%;7.541%;29.948%;42.416%;12.942%;0.359%;0.560%;0.819%;1.278%
63;2.830%;0.254%;0.726%;7.351%;26.771%;47.213%;12.874%;0.269%;0.522%;0.450%;0.740%
64;3.371%;0.204%;0.415%;7.785%;27.333%;46.329%;12.417%;0.300%;0.415%;0.504%;0.926%
65;3.235%;0.237%;0.338%;7.924%;25.969%;46.190%;13.436%;0.225%;0.417%;1.206%;0.823%
66;3.364%;0.180%;0.424%;8.617%;26.425%;46.089%;13.021%;0.297%;0.403%;0.478%;0.700%
