Año ;Agrupacion;Votos ;Porcentge
2015;Juntos;3,224,473;35.53%
2015;Frente de Todos;2,374,740;26.17%
2015;Avanza Libetad;0;0.00%
2015;FIT;296,085;3.26%
2017;Juntos;3,930,406;42.15%
2017;Frente de Todos;3,383,114;36.28%
2017;Avanza Libetad;0;0.00%
2017;FIT;497,665;5.34%
2019;Juntos;4,921,536;52.74%
2019;Frente de Todos;3,223,460;34.54%
2019;Avanza Libetad;0;0.00%
2019;FIT;321,876;3.45%
2021;Juntos;3,149,989;37.99%
2021;Frente de Todos;2,789,022;33.64%
2021;Avanza Libetad;404,016;4.09%
2021;FIT;423,923;5.22%
