Año ;Agrupacion;Votos ;Porcentge
2015;Juntos;871549;46.67
2015;Frente de Todos;411285;22.02
2015;Avanza Libetad;0;0
2015;FIT;76187;4.08
2015;Autodeterminación y Libertad;53073;2.84
2017;Juntos;982867;50.98312713
2017;Frente de Todos;419176;21.74343354
2017;Avanza Libetad;0;0
2017;FIT;111696;5.793877877
2017;Autodeterminación y Libertad;0;0
2019;Juntos;905875;50.54
2019;Frente de Todos;623044;34.76
2019;Avanza Libetad;0;0
2019;FIT;78243;4.37
2019;Autodeterminación y Libertad;82977;4.304170289
2021;Juntos;841205;68.35
2021;Frente de Todos;430467;24.66
2021;Avanza Libetad;238552;13.66
2021;FIT;108758;6.23
2021;Autodeterminación y Libertad;46280;2.65
