Año,Agrupacion,Votos ,Porcentge
2015,Juntos,871549,46.67
2015,Frente de Todos,411285,22.02
2015,Avanza Libetad,0,0
2015,FIT,76187,4.08
2015,Autodeterminacion y Libertad,53073,2.84
2017,Juntos,982867,50.98312713
2017,Frente de Todos,419176,21.74343354
2017,Avanza Libetad,0,0
2017,FIT,111696,5.793877877
2017,Autodeterminacion y Libertad,0,0
2019,Juntos,905875,50.54
2019,Frente de Todos,623044,34.76
2019,Avanza Libetad,0,0
2019,FIT,78243,4.37
2019,Autodeterminacion y Libertad,82977,4.304170289
2021,Juntos,1742001,45.84
2021,Frente de Todos,938095,24.69
2021,Avanza Libetad,626516,16.49
2021,FIT,291290,7.67
2021,Autodeterminacion y Libertad,113780,2.99
