Año ;Agrupacion;Votos ;Porcentge
2015;Juntos;3224473;35.53
2015;Frente de Todos;2374740;26.17
2015;Avanza Libetad;0;0
2015;FIT;296085;3.26
2017;Juntos;3930406;42.15044589
2017;Frente de Todos;3383114;36.28117899
2017;Avanza Libetad;0;0
2017;FIT;497665;5.337057203
2019;Juntos;4921536;52.74
2019;Frente de Todos;3223460;34.54
2019;Avanza Libetad;0;0
2019;FIT;321876;3.45
2021;Juntos;3149989;37.99
2021;Frente de Todos;2789022;33.64
2021;Avanza Libetad;404016;4.09
2021;FIT;423923;5.22
