Seccion,Agrupacion,Votos
Comuna 15,LA LIBERTAD AVANZA,14153
Comuna 14,LA LIBERTAD AVANZA,17997
Comuna 13,LA LIBERTAD AVANZA,19564
Comuna 12,LA LIBERTAD AVANZA,18595
Comuna 11,LA LIBERTAD AVANZA,17935
Comuna 10,LA LIBERTAD AVANZA,16155
Comuna 9,LA LIBERTAD AVANZA,15686
Comuna 8,LA LIBERTAD AVANZA,14194
Comuna 7,LA LIBERTAD AVANZA,17613
Comuna 6,LA LIBERTAD AVANZA,14091
Comuna 5,LA LIBERTAD AVANZA,13552
Comuna 4,LA LIBERTAD AVANZA,16569
Comuna 3,LA LIBERTAD AVANZA,14665
Comuna 2,LA LIBERTAD AVANZA,12461
Comuna 1,LA LIBERTAD AVANZA,15322
Comuna 15,JUNTOS POR EL CAMBIO,50033
Comuna 14,JUNTOS POR EL CAMBIO,83432
Comuna 13,JUNTOS POR EL CAMBIO,91091
Comuna 12,JUNTOS POR EL CAMBIO,68277
Comuna 11,JUNTOS POR EL CAMBIO,60219
Comuna 10,JUNTOS POR EL CAMBIO,48449
Comuna 9,JUNTOS POR EL CAMBIO,44029
Comuna 8,JUNTOS POR EL CAMBIO,33708
Comuna 7,JUNTOS POR EL CAMBIO,53696
Comuna 6,JUNTOS POR EL CAMBIO,57754
Comuna 5,JUNTOS POR EL CAMBIO,47686
Comuna 4,JUNTOS POR EL CAMBIO,47140
Comuna 3,JUNTOS POR EL CAMBIO,44490
Comuna 2,JUNTOS POR EL CAMBIO,59591
Comuna 1,JUNTOS POR EL CAMBIO,51610
Comuna 15,FRENTE DE TODOS,31770
Comuna 14,FRENTE DE TODOS,23847
Comuna 13,FRENTE DE TODOS,24305
Comuna 12,FRENTE DE TODOS,31065
Comuna 11,FRENTE DE TODOS,29388
Comuna 10,FRENTE DE TODOS,27716
Comuna 9,FRENTE DE TODOS,30361
Comuna 8,FRENTE DE TODOS,34190
Comuna 7,FRENTE DE TODOS,32719
Comuna 6,FRENTE DE TODOS,26796
Comuna 5,FRENTE DE TODOS,30116
Comuna 4,FRENTE DE TODOS,38850
Comuna 3,FRENTE DE TODOS,28206
Comuna 2,FRENTE DE TODOS,13022
Comuna 1,FRENTE DE TODOS,28116
Comuna 15,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,9164
Comuna 14,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7151
Comuna 13,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,8100
Comuna 12,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,8624
Comuna 11,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7489
Comuna 10,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6977
Comuna 9,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6141
Comuna 8,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5700
Comuna 7,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7816
Comuna 6,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7722
Comuna 5,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,8397
Comuna 4,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,8070
Comuna 3,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7163
Comuna 2,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3809
Comuna 1,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6435
Comuna 15,AUTODETERMINACIÓN Y LIBERTAD,4417
Comuna 14,AUTODETERMINACIÓN Y LIBERTAD,2675
Comuna 13,AUTODETERMINACIÓN Y LIBERTAD,3247
Comuna 12,AUTODETERMINACIÓN Y LIBERTAD,3882
Comuna 11,AUTODETERMINACIÓN Y LIBERTAD,4138
Comuna 10,AUTODETERMINACIÓN Y LIBERTAD,3446
Comuna 9,AUTODETERMINACIÓN Y LIBERTAD,2654
Comuna 8,AUTODETERMINACIÓN Y LIBERTAD,1849
Comuna 7,AUTODETERMINACIÓN Y LIBERTAD,3391
Comuna 6,AUTODETERMINACIÓN Y LIBERTAD,3821
Comuna 5,AUTODETERMINACIÓN Y LIBERTAD,3474
Comuna 4,AUTODETERMINACIÓN Y LIBERTAD,2726
Comuna 3,AUTODETERMINACIÓN Y LIBERTAD,2663
Comuna 2,AUTODETERMINACIÓN Y LIBERTAD,1482
Comuna 1,AUTODETERMINACIÓN Y LIBERTAD,2415
Comuna 15,NULO,3970
Comuna 14,NULO,3517
Comuna 13,NULO,4031
Comuna 12,NULO,4462
Comuna 11,NULO,4297
Comuna 10,NULO,3728
Comuna 9,NULO,3568
Comuna 8,NULO,3905
Comuna 7,NULO,4145
Comuna 6,NULO,3406
Comuna 5,NULO,3468
Comuna 4,NULO,4510
Comuna 3,NULO,3610
Comuna 2,NULO,2039
Comuna 1,NULO,3355
